时间,实际功率(MW)
字符型（yyyy-mm-dd HH:MM:SS）,浮点型，保留2位有效数值
2020-01-01 00:00:00,0.01 
2020-01-01 00:15:00,0.00 
2020-01-01 00:30:00,0.00 
2020-01-01 00:45:00,0.00 
2020-01-01 01:00:00,0.00 
2020-01-01 01:15:00,0.00 
2020-01-01 01:30:00,0.00 
2020-01-01 01:45:00,0.00 
2020-01-01 02:00:00,0.00 
2020-01-01 02:15:00,0.00 
2020-01-01 02:30:00,0.00 
2020-01-01 02:45:00,0.00 
2020-01-01 03:00:00,0.00 
2020-01-01 03:15:00,0.00 
2020-01-01 03:30:00,0.01 
2020-01-01 03:45:00,0.32 
2020-01-01 04:00:00,0.29 
2020-01-01 04:15:00,0.12 
2020-01-01 04:30:00,0.00 
2020-01-01 04:45:00,0.00 
2020-01-01 05:00:00,0.00 
2020-01-01 05:15:00,0.00 
2020-01-01 05:30:00,0.00 
2020-01-01 05:45:00,0.00 
2020-01-01 06:00:00,0.00 
2020-01-01 06:15:00,0.00 
2020-01-01 06:30:00,0.00 
2020-01-01 06:45:00,0.00 
2020-01-01 07:00:00,0.00 
2020-01-01 07:15:00,0.00 
2020-01-01 07:30:00,0.00 
2020-01-01 07:45:00,0.00 
2020-01-01 08:00:00,0.00 
2020-01-01 08:15:00,0.00 
2020-01-01 08:30:00,0.00 
2020-01-01 08:45:00,0.00 
2020-01-01 09:00:00,0.00 
2020-01-01 09:15:00,0.00 
2020-01-01 09:30:00,0.00 
2020-01-01 09:45:00,0.00 
2020-01-01 10:00:00,0.00 
2020-01-01 10:15:00,0.00 
2020-01-01 10:30:00,0.00 
2020-01-01 10:45:00,0.00 
2020-01-01 11:00:00,0.00 
2020-01-01 11:15:00,0.00 
2020-01-01 11:30:00,0.00 
2020-01-01 11:45:00,0.00 
2020-01-01 12:00:00,0.00 
2020-01-01 12:15:00,0.00 
2020-01-01 12:30:00,0.00 
2020-01-01 12:45:00,0.00 
2020-01-01 13:00:00,0.00 
2020-01-01 13:15:00,0.00 
2020-01-01 13:30:00,0.00 
2020-01-01 13:45:00,0.00 
2020-01-01 14:00:00,0.00 
2020-01-01 14:15:00,0.00 
2020-01-01 14:30:00,0.00 
2020-01-01 14:45:00,0.00 
2020-01-01 15:00:00,0.00 
2020-01-01 15:15:00,0.00 
2020-01-01 15:30:00,0.00 
2020-01-01 15:45:00,0.00 
2020-01-01 16:00:00,0.01 
2020-01-01 16:15:00,0.71 
2020-01-01 16:30:00,3.66 
2020-01-01 16:45:00,3.24 
2020-01-01 17:00:00,2.92 
2020-01-01 17:15:00,2.07 
2020-01-01 17:30:00,0.89 
2020-01-01 17:45:00,0.36 
2020-01-01 18:00:00,0.19 
2020-01-01 18:15:00,0.00 
2020-01-01 18:30:00,0.00 
2020-01-01 18:45:00,0.00 
2020-01-01 19:00:00,0.00 
2020-01-01 19:15:00,0.00 
2020-01-01 19:30:00,0.00 
2020-01-01 19:45:00,0.00 
2020-01-01 20:00:00,0.00 
2020-01-01 20:15:00,0.00 
2020-01-01 20:30:00,0.00 
2020-01-01 20:45:00,0.00 
2020-01-01 21:00:00,0.00 
2020-01-01 21:15:00,0.00 
2020-01-01 21:30:00,0.00 
2020-01-01 21:45:00,0.00 
2020-01-01 22:00:00,0.00 
2020-01-01 22:15:00,0.00 
2020-01-01 22:30:00,0.00 
2020-01-01 22:45:00,0.14 
2020-01-01 23:00:00,1.98 
2020-01-01 23:15:00,7.28 
2020-01-01 23:30:00,12.87 
2020-01-01 23:45:00,14.38 
2020-01-02 00:00:00,14.14 
2020-01-02 00:15:00,15.55 
2020-01-02 00:30:00,10.03 
2020-01-02 00:45:00,7.00 
2020-01-02 01:00:00,4.17 
2020-01-02 01:15:00,2.37 
2020-01-02 01:30:00,1.18 
2020-01-02 01:45:00,0.11 
2020-01-02 02:00:00,0.00 
2020-01-02 02:15:00,0.00 
2020-01-02 02:30:00,0.28 
2020-01-02 02:45:00,1.40 
2020-01-02 03:00:00,3.24 
2020-01-02 03:15:00,4.67 
2020-01-02 03:30:00,3.48 
2020-01-02 03:45:00,1.05 
2020-01-02 04:00:00,0.00 
2020-01-02 04:15:00,0.00 
2020-01-02 04:30:00,0.00 
2020-01-02 04:45:00,0.22 
2020-01-02 05:00:00,0.00 
2020-01-02 05:15:00,0.00 
2020-01-02 05:30:00,0.49 
2020-01-02 05:45:00,0.84 
2020-01-02 06:00:00,0.44 
2020-01-02 06:15:00,0.18 
2020-01-02 06:30:00,0.46 
2020-01-02 06:45:00,0.25 
2020-01-02 07:00:00,0.00 
2020-01-02 07:15:00,0.00 
2020-01-02 07:30:00,0.00 
2020-01-02 07:45:00,0.00 
2020-01-02 08:00:00,0.00 
2020-01-02 08:15:00,0.15 
2020-01-02 08:30:00,1.07 
2020-01-02 08:45:00,0.89 
2020-01-02 09:00:00,0.08 
2020-01-02 09:15:00,0.02 
2020-01-02 09:30:00,0.38 
2020-01-02 09:45:00,2.09 
2020-01-02 10:00:00,6.28 
2020-01-02 10:15:00,16.13 
2020-01-02 10:30:00,28.68 
2020-01-02 10:45:00,37.00 
2020-01-02 11:00:00,43.20 
2020-01-02 11:15:00,45.92 
2020-01-02 11:30:00,61.61 
2020-01-02 11:45:00,65.25 
2020-01-02 12:00:00,70.13 
2020-01-02 12:15:00,71.00 
2020-01-02 12:30:00,83.29 
2020-01-02 12:45:00,105.72 
2020-01-02 13:00:00,123.26 
2020-01-02 13:15:00,153.63 
2020-01-02 13:30:00,169.39 
2020-01-02 13:45:00,174.50 
2020-01-02 14:00:00,175.24 
2020-01-02 14:15:00,170.85 
2020-01-02 14:30:00,174.16 
2020-01-02 14:45:00,180.39 
2020-01-02 15:00:00,175.79 
2020-01-02 15:15:00,166.75 
2020-01-02 15:30:00,163.33 
2020-01-02 15:45:00,174.55 
2020-01-02 16:00:00,176.93 
2020-01-02 16:15:00,170.52 
2020-01-02 16:30:00,173.29 
2020-01-02 16:45:00,172.23 
2020-01-02 17:00:00,164.13 
2020-01-02 17:15:00,155.46 
2020-01-02 17:30:00,145.52 
2020-01-02 17:45:00,146.93 
2020-01-02 18:00:00,134.20 
2020-01-02 18:15:00,116.43 
2020-01-02 18:30:00,119.55 
2020-01-02 18:45:00,115.46 
2020-01-02 19:00:00,117.61 
2020-01-02 19:15:00,123.40 
2020-01-02 19:30:00,119.91 
2020-01-02 19:45:00,122.17 
2020-01-02 20:00:00,123.72 
2020-01-02 20:15:00,128.19 
2020-01-02 20:30:00,131.10 
2020-01-02 20:45:00,136.78 
2020-01-02 21:00:00,131.19 
2020-01-02 21:15:00,93.76 
2020-01-02 21:30:00,101.11 
2020-01-02 21:45:00,158.18 
2020-01-02 22:00:00,168.44 
2020-01-02 22:15:00,172.53 
2020-01-02 22:30:00,177.50 
2020-01-02 22:45:00,175.21 
2020-01-02 23:00:00,176.32 
2020-01-02 23:15:00,180.42 
2020-01-02 23:30:00,186.91 
2020-01-02 23:45:00,188.97 
2020-01-03 00:00:00,164.31 
2020-01-03 00:15:00,146.20 
2020-01-03 00:30:00,183.55 
2020-01-03 00:45:00,189.89 
2020-01-03 01:00:00,193.38 
2020-01-03 01:15:00,198.64 
2020-01-03 01:30:00,187.83 
2020-01-03 01:45:00,197.91 
2020-01-03 02:00:00,194.76 
2020-01-03 02:15:00,189.51 
